api_number,production_month,production_year,production_quarter,oil_and_gas_group,production,operator,basin,shale_play,well_name,well_length_ft
33-053-06659-0000,2022-12-01,2022,Q4,G,1179.9192,"HESS BAKKEN INVESTMENTS II, LLC",Three Forks,Three Forks,33-053-06659-0000,
33-053-06664-0000,2022-07-01,2022,Q3,O,1733.2419,"HESS BAKKEN INVESTMENTS II, LLC",Bakken,Bakken,33-053-06664-0000,
33-053-06682-0000,2022-03-01,2022,Q1,G,51.118,"CONTINENTAL RESOURCES, INC.",Three Forks,Three Forks,33-053-06682-0000,
33-053-06682-0000,2022-03-01,2022,Q1,O,2777.0701,"CONTINENTAL RESOURCES, INC.",Three Forks,Three Forks,33-053-06682-0000,
33-053-06682-0000,2022-06-01,2022,Q2,G,910.27136,"CONTINENTAL RESOURCES, INC.",Three Forks,Three Forks,33-053-06682-0000,
33-053-06696-0000,2022-03-01,2022,Q1,G,22.164833,QEP ENERGY COMPANY,Three Forks,Three Forks,33-053-06696-0000,
33-053-06696-0000,2022-04-01,2022,Q2,O,1211.6021,QEP ENERGY COMPANY,Three Forks,Three Forks,33-053-06696-0000,
33-053-06696-0000,2022-06-01,2022,Q2,O,1179.193,QEP ENERGY COMPANY,Three Forks,Three Forks,33-053-06696-0000,
33-053-06696-0000,2022-10-01,2022,Q4,G,21.174833,QEP ENERGY COMPANY,Three Forks,Three Forks,33-053-06696-0000,
33-053-06709-0000,2022-07-01,2022,Q3,O,2577.4221,"WPX ENERGY WILLISTON, LLC",Bakken,Bakken,33-053-06709-0000,
33-053-06710-0000,2022-01-01,2022,Q1,O,5189.0,"PETRO-HUNT, L.L.C.",Bakken,Bakken,33-053-06710-0000,
33-053-06710-0000,2022-03-01,2022,Q1,O,4100.8608,"PETRO-HUNT, L.L.C.",Bakken,Bakken,33-053-06710-0000,
33-053-06710-0000,2022-04-01,2022,Q2,G,2087.3196,"PETRO-HUNT, L.L.C.",Bakken,Bakken,33-053-06710-0000,
33-053-06710-0000,2022-08-01,2022,Q3,O,3859.0161,"PETRO-HUNT, L.L.C.",Bakken,Bakken,33-053-06710-0000,
33-053-06710-0000,2022-12-01,2022,Q4,G,45.805332,"PETRO-HUNT, L.L.C.",Bakken,Bakken,33-053-06710-0000,
33-053-06710-0000,2022-12-01,2022,Q4,O,3687.928,"PETRO-HUNT, L.L.C.",Bakken,Bakken,33-053-06710-0000,
