operator,api_number,basin,production_month,flared_gas_mcf,gross_gas_production_mcf,flaring_intensity,cumulative_flared_mcf
OASIS PETROLEUM NORTH AMERICA LLC,33-053-06976-0000,Bakken,2021-06-01,16.0,6165.0,0.0025952960259529602,282696.0
OASIS PETROLEUM NORTH AMERICA LLC,33-053-06976-0000,Bakken,2021-07-01,1597.0,12639.0,0.1263549331434449,284293.0
OASIS PETROLEUM NORTH AMERICA LLC,33-053-06976-0000,Bakken,2021-08-01,602.0,10296.0,0.05846930846930847,284895.0
OASIS PETROLEUM NORTH AMERICA LLC,33-053-06976-0000,Bakken,2021-09-01,21.0,7776.0,0.002700617283950617,284916.0
OASIS PETROLEUM NORTH AMERICA LLC,33-053-06976-0000,Bakken,2021-10-01,62.0,6852.0,0.009048453006421483,284978.0
OASIS PETROLEUM NORTH AMERICA LLC,33-053-06976-0000,Bakken,2021-11-01,9.0,10303.0,0.0008735319809764147,284987.0
OASIS PETROLEUM NORTH AMERICA LLC,33-053-06976-0000,Bakken,2021-12-01,2.0,6516.0,0.0003069367710251688,284989.0
OASIS PETROLEUM NORTH AMERICA LLC,33-053-06976-0000,Bakken,2022-01-01,114.0,17436.0,0.00653819683413627,285103.0
OASIS PETROLEUM NORTH AMERICA LLC,33-053-06976-0000,Bakken,2022-02-01,88.669998,13561.33,0.006538444090660725,285191.669998
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2017-01-01,1359.0,1359.0,1.0,1359.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2017-02-01,9111.0,31091.0,0.2930430027982374,10470.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2017-03-01,35249.0,80119.0,0.43995806238220647,45719.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2017-04-01,39361.0,86590.0,0.4545675020210186,85080.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2017-05-01,29801.0,73885.0,0.40334303309196723,114881.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2017-06-01,22262.0,55710.0,0.39960509782803805,137143.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2017-07-01,7973.0,49676.0,0.16050004026089057,145116.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2017-08-01,2284.0,13495.0,0.16924786958132643,147400.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2017-11-01,3763.0,36707.0,0.10251450676982592,151163.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2017-12-01,7052.0,51035.0,0.13817968061134517,158215.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2018-01-01,9930.0,48106.0,0.206419157693427,168145.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2018-02-01,11794.0,40593.0,0.2905427044071638,179939.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2018-03-01,3354.0,7097.0,0.4725940538255601,183293.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2018-04-01,3642.0,9993.0,0.3644551185830081,186935.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2018-05-01,937.0,5493.0,0.17058073912251956,187872.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2018-06-01,668.0,4630.0,0.14427645788336932,188540.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2018-07-01,341.0,4450.0,0.07662921348314607,188881.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2018-08-01,10.0,3509.0,0.002849814762040467,188891.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2018-09-01,199.0,2546.0,0.0781618224666143,189090.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2018-10-01,331.0,1660.0,0.19939759036144578,189421.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2018-11-01,654.0,10237.0,0.06388590407345902,190075.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2018-12-01,972.0,10851.0,0.08957699751175006,191047.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2019-01-01,783.0,8360.0,0.09366028708133971,191830.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2019-02-01,5552.0,13769.0,0.4032246350497494,197382.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2019-03-01,4103.0,10703.0,0.38335046248715315,201485.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2019-04-01,356.0,7871.0,0.04522932283064414,201841.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2019-05-01,543.0,8777.0,0.061866241312521365,202384.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2019-06-01,337.0,11364.0,0.029655051038366773,202721.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2019-07-01,,14466.0,,202721.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2019-08-01,1195.0,32165.0,0.037152184050987094,203916.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2019-09-01,,15956.0,,203916.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2019-10-01,,13460.0,,203916.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2019-11-01,,13641.0,,203916.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2019-12-01,,13589.0,,203916.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2020-01-01,,8796.0,,203916.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2020-02-01,,42038.0,,203916.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2020-03-01,96.0,23137.0,0.004149198253879069,204012.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2020-04-01,,14093.0,,204012.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2020-05-01,,120.0,,204012.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2020-07-01,15.0,4404.0,0.0034059945504087193,204027.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2020-08-01,,7263.0,,204027.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2020-09-01,40.0,8263.0,0.0048408568316592035,204067.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2020-10-01,,10425.0,,204067.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2020-11-01,,10649.0,,204067.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2020-12-01,150.0,8523.0,0.017599436818021823,204217.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2021-01-01,,4593.0,,204217.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2021-06-01,,77.0,,204217.0
"CONTINENTAL RESOURCES, INC.",33-053-07059-0000,Bakken,2021-11-01,,180.0,,204217.0
